Variant,Name,CL / SL
"Clang 12, O1","skip_prefix ,prefix      @0x0:0x281",1
"Clang 12, O1","skip_prefix ,str         @0x0:0x271",1
"Clang 12, O1","st_mult     ,a           @0x0:0x7ac",1
"Clang 12, O1","st_mult     ,b           @0x0:0x7bc",1
"Clang 12, O1","strbuf_addst,s           @0x0:0x645",1
"Clang 12, O1","strbuf_addst,sb          @0x0:0x636",0.66667
"Clang 12, O1","trace_pass_f,key         @0x0:0x5c8",0.5
"Clang 13, O1","_           ,msgid       @0x0:0x3fe",1
"Clang 13, O1","cmd_main    ,argc        @0x0:0x2bc",0.69444
"Clang 13, O1","cmd_main    ,argv        @0x0:0x2cb",0.80556
"Clang 13, O1","cmd_main    ,cmd         @0x0:0x2da",0.88889
"Clang 13, O1","cmd_main    ,done_help   @0x0:0x2e9",0.97222
"Clang 13, O1","cmd_main    ,slash       @0x0:0x306",0.66667
"Clang 13, O1","cmd_main    ,was_alias   @0x0:0x324",0.625
"Clang 13, O1","copy_array  ,dst         @0x0:0x7e3",0.75
"Clang 13, O1","copy_array  ,n           @0x0:0x803",0.75
"Clang 13, O1","copy_array  ,size        @0x0:0x813",1
"Clang 13, O1","copy_array  ,src         @0x0:0x7f3",0.75
"Clang 13, O1","exclude_help,i           @0x0:0x9bc",0.66667
"Clang 13, O1","exclude_help,list        @0x0:0x9ad",0.83333
"Clang 13, O1","execv_dashed,argv        @0x0:0x5ef",1
"Clang 13, O1","execv_dashed,cmd         @0x0:0x5ff",1
"Clang 13, O1","execv_dashed,status      @0x0:0x60f",0.15789
"Clang 13, O1","get_builtin ,i           @0x0:0x1d3",0.5
"Clang 13, O1","get_builtin ,p           @0x0:0x1f0",0
"Clang 13, O1","get_builtin ,s           @0x0:0x1c3",1
"Clang 13, O1","git_find_las,path        @0x0:0x350",1
"Clang 13, O1","gitstrchrnul,c           @0x0:0x932",1
"Clang 13, O1","gitstrchrnul,s           @0x0:0x922",1
"Clang 13, O1","handle_alias,alias_comman@0x0:0x6dc",0.69565
"Clang 13, O1","handle_alias,alias_string@0x0:0x6ec",0.30435
"Clang 13, O1","handle_alias,argcp       @0x0:0x66f",0.80435
"Clang 13, O1","handle_alias,argv        @0x0:0x67f",1
"Clang 13, O1","handle_alias,child       @0x0:0x719",1
"Clang 13, O1","handle_alias,count       @0x0:0x69e",0.19565
"Clang 13, O1","handle_alias,envchanged  @0x0:0x68f",0.58696
"Clang 13, O1","handle_alias,new_argv    @0x0:0x6ad",0.36957
"Clang 13, O1","handle_alias,nongit_ok   @0x0:0x729",0.93333
"Clang 13, O1","handle_alias,option_count@0x0:0x6fc",0.06522
